############### GRAFO CARGADO #################
     1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76
1    999999999999    1118.03    3621.12    3891.34    5205.85    4884.33    4650.0    4975.19    6247.6    6408.0    8009.31    7803.15    8500.0    8664.44    9414.48    9521.69    9030.64    9408.11    6180.01    5561.03    3832.75    3050.0    1931.32    4750.0    4366.06    6791.54    7403.04    8290.92    7409.63    6647.18    6524.19    8487.93    8984.71    10286.23    9587.79    9737.17    9637.69    11029.28    11416.0    11536.46    12092.35    9793.11    9080.89    8508.97    7800.0    6587.3    9500.0    9055.39    11147.31    11814.93    12470.08    11448.74    10576.98    10271.44    12254.9    12865.17    13877.65    12964.84    12747.55    12482.89    14134.44    14666.71    15157.59    15781.71    14097.61    13383.76    13237.82    12550.0    11321.66    16269.3    17936.83    18830.83    18985.52    10467.57    3605.55    3716.18    
2    1118.03    999999999999    2926.17    3360.43    4555.53    4049.15    3684.09    3950.0    5392.82    5640.26    7204.38    6894.0    7516.65    7650.0    8501.91    8660.98    8297.74    8727.11    5765.63    5091.66    4200.0    3688.16    2860.07    5344.39    4750.0    6806.25    7463.58    8193.98    7224.38    6394.14    6177.78    8175.88    8730.69    9915.17    9127.63    9154.92    9004.72    10490.23    10928.17    11186.6    11773.91    9782.89    9067.11    8950.0    8360.02    7252.07    10049.88    9500.0    11367.17    12051.66    12595.83    11537.45    10645.3    10288.46    12236.52    12874.88    13778.36    12815.04    12500.0    12197.23    13890.01    14455.54    15051.66    15691.16    14258.07    13550.83    13700.0    13088.26    11921.83    16886.09    17993.89    18784.3    18923.53    9360.56    3640.05    3828.84    
3    3621.12    2926.17    999999999999    700.0    1629.44    1367.75    1627.88    2193.17    2700.0    2789.27    4398.17    4307.03    5168.41    5440.59    5900.0    5941.38    5413.41    5813.78    3001.67    2289.65    3572.46    3962.95    4208.62    5022.45    3990.61    4750.0    5450.0    5817.52    4739.91    3842.2    3488.91    5463.74    6082.15    7109.95    6255.95    6230.97    6079.68    7574.46    8031.97    8390.02    9003.47    7501.5    6806.61    7747.58    7536.08    6850.18    9080.89    8271.18    9500.0    10200.0    10495.57    9390.83    8485.28    8041.14    9876.23    10551.3    11264.28    10239.55    9801.15    9457.8    11183.02    11783.46    12514.19    13170.04    12192.62    11512.71    12345.55    11958.47    11011.93    15890.64    15686.7    16304.37    16419.88    7864.64    6470.9    6689.73    
4    3891.34    3360.43    700.0    999999999999    1368.89    1628.05    2163.33    2745.91    2789.27    2700.0    4308.12    4396.78    5361.2    5685.95    5941.38    5900.0    5202.4    5536.24    2420.74    1732.77    3100.4    3669.47    4150.0    4539.27    3464.82    4050.0    4750.0    5139.3    4073.89    3184.73    2872.72    4867.49    5463.74    6566.38    5767.86    5848.5    5748.26    7156.29    7574.46    7842.35    8441.71    6817.07    6118.82    7086.96    6921.16    6307.54    8437.56    7605.43    8800.0    9500.0    9801.83    8698.71    7792.95    7354.59    9204.89    9876.23    10620.73    9608.83    9208.28    8881.44    10594.81    11183.02    11877.08    12529.96    11498.26    10816.77    11660.3    11290.04    10366.89    15227.03    15014.08    15658.3    15778.55    8285.08    6975.85    7179.31    
5    5205.85    4555.53    1629.44    1368.89    999999999999    1115.0    2013.82    2512.3    1624.46    1362.96    2950.0    3153.1    4207.12    4592.33    4636.77    4551.75    3841.04    4202.65    1698.37    1053.17    4162.41    4914.73    5506.93    5530.59    4414.68    4073.28    4739.24    4750.0    3635.0    2746.27    2246.81    4071.29    4737.53    5593.21    4680.02    4602.87    4452.64    5952.83    6426.89    6871.32    7503.25    6443.68    5794.02    7480.79    7524.37    7135.32    8899.37    7959.33    8697.88    9389.99    9500.0    8385.0    7493.56    6993.55    8696.95    9389.13    9949.4    8887.52    8354.51    7980.44    9720.99    10344.88    11171.46    11834.71    11192.97    10543.11    11820.48    11584.58    10799.27    15528.7    14484.66    14980.79    15079.53    7431.41    8079.76    8305.08    
6    4884.33    4049.15    1367.75    1628.05    1115.0    999999999999    905.84    1400.84    1363.8    1624.73    3155.33    2950.0    3804.29    4092.38    4552.71    4637.56    4281.1    4763.02    2810.9    2162.35    4725.93    5264.2    5576.26    6159.19    5071.95    5138.07    5816.32    5865.0    4750.0    3859.99    3360.26    5137.02    5815.39    6567.35    5590.66    5343.37    5106.52    6727.27    7258.51    7834.66    8480.29    7558.45    6908.67    8459.52    8412.24    7891.37    9855.95    8954.25    9800.7    10494.45    10615.0    9500.0    8608.34    8108.35    9800.15    10493.94    11019.49    9946.53    9367.8    8973.88    10719.62    11357.37    12229.51    12894.55    12307.89    11657.99    12880.89    12607.33    11771.9    16553.53    15578.92    16041.35    16133.62    6664.79    7379.29    7625.29    
7    4650.0    3684.09    1627.88    2163.33    2013.82    905.84    999999999999    583.1    1860.11    2343.07    3697.12    3227.7    3850.0    4031.13    4827.01    5032.89    4911.72    5448.85    3712.14    3050.0    5197.36    5561.03    5644.69    6647.18    5602.23    5971.81    6659.02    6759.73    5645.05    4750.0    4260.58    6039.25    6719.56    7438.16    6438.52    6114.33    5836.31    7504.17    8061.79    8698.42    9348.93    8455.32    7800.0    9204.62    9080.89    8457.25    10576.98    9711.98    10667.71    11363.54    11509.02    10394.11    9500.0    9005.0    10705.61    11399.12    11920.94    10845.09    10250.49    9848.86    11595.26    12238.46    13127.26    13792.75    13203.41    12550.0    13695.35    13383.76    12502.5    17328.08    16484.61    16939.38    17029.46    6254.8    6766.28    7027.27    
8    4975.19    3950.0    2193.17    2745.91    2512.3    1400.84    583.1    999999999999    2000.0    2594.22    3762.57    3128.72    3585.04    3700.0    4681.88    4964.88    5020.46    5597.32    4200.0    3562.65    5765.63    6091.39    6100.2    7215.61    6177.78    6524.76    7207.81    7259.49    6144.78    5258.56    4750.0    6462.39    7151.4    7782.31    6750.95    6337.59    6021.0    7725.44    8310.39    9027.32    9684.65    8950.0    8305.42    9782.89    9663.98    9034.66    11158.07    10288.46    11200.89    11894.96    12008.9    10894.01    10004.5    9500.0    11164.68    11860.86    12332.76    11246.64    10611.43    10195.1    11940.27    12593.65    13524.24    14190.84    13700.0    13053.45    14258.07    13957.26    13082.91    17902.3    16924.91    17335.3    17418.17    5736.94    6799.45    7071.95    
9    6247.6    5392.82    2700.0    2789.27    1624.46    1363.8    1860.11    2000.0    999999999999    700.0    1843.29    1615.45    2594.71    2968.16    3200.0    3275.67    3053.69    3606.94    2863.56    2460.18    5769.1    6451.74    6885.67    7151.57    6036.97    5463.74    6082.15    5816.13    4738.77    3946.2    3370.83    4750.0    5450.0    5882.62    4816.24    4341.08    4021.5    5727.35    6320.01    7100.18    7763.54    7447.31    6865.86    8974.69    9094.64    8753.57    10410.69    9430.4    9876.23    10551.3    10494.8    9390.26    8532.88    7990.62    9500.0    10200.0    10532.7    9429.09    8722.53    8286.13    10024.47    10690.18    11688.67    12355.57    12159.36    11547.84    13150.38    12997.12    12286.68    16927.27    15179.34    15489.11    15558.68    5857.69    8618.15    8875.39    
10    6408.0    5640.26    2789.27    2700.0    1362.96    1624.73    2343.07    2594.22    700.0    999999999999    1616.7    1841.43    2960.15    3397.06    3275.67    3200.0    2661.77    3140.06    2247.22    1952.56    5489.31    6275.75    6850.0    6820.92    5703.07    4867.49    5463.74    5137.72    4072.56    3309.46    2728.09    4050.0    4750.0    5212.6    4162.62    3771.6    3500.36    5161.64    5727.35    6443.8    7104.4    6757.4    6184.66    8411.0    8592.0    8335.77    9854.57    8852.26    9204.89    9876.23    9801.0    8698.09    7844.74    7299.32    8800.0    9500.0    9841.43    8740.07    8050.62    7621.68    9363.76    10024.47    11003.86    11670.9    11462.98    10854.15    12509.3    12384.87    11712.07    16305.9    14483.18    14807.51    14880.27    6411.12    9003.47    9250.0    
