############### GRAFO CARGADO #################
     1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99     100     101
1    999999999999    32.56    14.56    32.2    32.2    24.84    21.02    31.58    17.8    15.56    26.4    16.64    26.4    46.87    45.35    42.45    40.71    22.85    28.23    16.49    29.27    39.2    46.17    27.78    37.64    19.42    10.82    12.0    24.04    11.05    10.44    20.88    12.37    24.74    27.2    40.52    35.81    56.85    41.59    24.02    42.01    40.72    49.4    46.1    36.69    39.01    33.73    28.16    39.82    6.32    12.04    15.23    18.44    25.61    34.06    38.9    38.08    23.54    32.02    28.3    38.29    19.24    24.41    38.21    35.0    25.3    51.11    18.03    4.47    8.06    24.84    33.54    32.14    36.35    38.83    10.63    13.42    20.22    16.03    19.21    14.87    26.08    29.55    34.99    36.8    48.27    33.62    15.3    20.52    20.59    39.7    33.02    33.97    26.63    29.68    29.07    32.25    35.61    31.14    38.6    15.23    
2    32.56    999999999999    34.41    20.22    23.85    16.4    36.25    36.07    47.42    43.29    50.29    23.43    9.43    21.19    13.0    25.18    32.7    27.46    47.42    49.03    10.44    12.21    23.32    34.99    30.15    16.4    23.0    20.88    38.29    43.29    35.23    52.0    39.36    48.41    55.57    54.2    15.3    32.31    25.5    9.43    12.21    12.08    18.44    24.19    35.81    45.28    47.43    41.34    58.67    32.31    43.32    27.2    14.14    25.06    28.64    18.68    5.83    9.06    15.65    24.76    24.04    42.45    52.61    63.25    65.8    57.72    34.18    30.41    30.07    39.05    55.54    12.04    9.0    11.7    15.23    28.65    31.62    43.6    38.01    29.0    42.06    36.06    29.0    27.78    19.65    31.02    7.07    36.14    20.12    50.16    20.1    13.93    18.38    13.45    12.21    16.4    10.77    16.49    17.49    17.03    18.0    
3    14.56    34.41    999999999999    25.0    42.72    33.54    35.36    45.04    15.0    29.15    40.31    11.18    32.02    53.15    47.17    51.48    52.2    35.36    42.72    22.36    26.93    36.4    40.0    14.14    26.93    18.03    20.62    16.12    9.49    21.21    25.0    31.24    7.28    14.14    21.54    55.08    43.01    64.03    33.38    25.0    40.16    45.28    52.8    53.82    49.5    53.08    48.27    42.58    54.13    8.25    14.32    28.07    22.8    16.12    23.41    33.06    40.22    26.87    39.96    39.56    47.85    33.62    36.88    51.22    32.76    28.64    41.76    6.08    18.11    21.1    23.09    30.08    30.08    33.24    34.53    6.71    2.83    9.22    3.61    8.06    9.0    40.05    41.77    46.17    45.28    57.71    38.18    29.83    30.68    32.56    47.71    40.22    42.54    34.13    36.62    37.59    38.42    43.27    39.82    45.8    22.36    
4    32.2    20.22    25.0    999999999999    41.23    31.62    46.1    50.54    40.0    47.17    57.01    15.81    25.5    41.23    29.15    45.0    50.99    40.31    56.57    46.1    10.0    14.14    15.0    18.03    10.0    14.14    28.28    22.02    23.77    42.72    40.0    52.92    32.06    36.4    45.71    66.4    35.0    52.2    9.43    15.81    18.38    32.02    36.24    44.41    52.2    59.94    59.2    52.8    68.59    28.16    38.47    36.24    21.1    9.22    8.54    8.25    24.35    19.92    34.23    40.5    43.19    49.04    56.44    69.63    57.43    53.34    19.21    19.03    32.45    40.25    48.04    8.94    11.4    11.4    10.82    22.8    23.09    32.56    28.07    17.03    34.0    48.26    44.38    45.35    39.05    51.04    27.07    43.19    32.65    52.77    40.01    33.06    37.22    29.83    30.27    33.73    30.02    36.01    35.51    37.05    25.0    
5    32.2    23.85    42.72    41.23    999999999999    10.0    20.62    13.93    50.0    33.54    35.36    35.36    15.81    20.0    29.15    11.18    10.0    11.18    30.0    46.1    31.62    36.06    47.17    50.25    50.99    30.0    22.36    26.93    50.45    39.05    27.2    43.83    43.91    55.9    59.41    32.7    11.18    26.93    48.47    25.5    35.47    20.12    28.16    16.49    12.04    22.2    26.93    22.09    39.05    36.24    44.05    17.69    22.02    42.01    48.51    42.05    24.76    21.38    8.49    4.47    6.71    29.41    40.8    47.0    66.47    54.82    57.7    41.98    27.8    34.06    56.64    34.93    31.78    35.36    38.95    36.06    40.16    50.99    45.69    41.59    46.65    17.0    7.07    4.12    8.06    16.28    17.69    24.6    12.08    40.31    11.0    10.63    6.71    11.4    11.66    7.62    13.45    9.85    6.4    12.37    20.62    
6    24.84    16.4    33.54    31.62    10.0    999999999999    20.62    19.85    42.43    30.41    35.36    25.5    7.07    22.36    25.5    18.03    20.0    11.18    31.62    40.31    22.36    28.28    39.05    40.31    41.23    20.0    14.14    17.46    40.8    33.54    22.8    40.26    35.61    47.17    51.66    37.8    11.18    32.02    39.36    15.81    28.6    18.03    27.07    21.26    20.62    29.21    31.06    25.06    42.49    27.8    36.88    13.15    12.04    32.02    38.64    33.29    19.31    11.7    7.21    8.94    14.32    28.02    39.05    48.05    59.82    49.24    48.88    32.28    20.81    28.64    49.68    26.08    23.02    27.02    30.61    26.83    30.87    42.19    36.72    31.78    38.42    19.72    13.04    14.04    12.04    24.19    12.37    22.02    5.1    37.48    14.87    8.54    9.22    3.16    6.0    4.24    9.0    10.82    6.4    13.89    11.18    
7    21.02    36.25    35.36    46.1    20.62    20.62    999999999999    12.21    36.4    14.14    15.0    33.54    26.93    40.31    46.1    31.62    25.0    10.0    11.18    29.15    39.05    47.17    57.01    47.43    54.08    32.02    18.03    24.7    44.72    22.36    11.18    24.21    33.06    45.28    45.54    20.59    30.0    47.43    55.17    32.02    48.3    38.21    47.1    37.11    18.44    18.11    13.42    7.28    22.8    27.17    30.08    9.9    25.5    42.54    50.77    50.33    39.85    28.84    26.02    16.28    27.2    8.94    20.25    27.46    49.93    37.01    65.07    37.64    17.26    18.03    41.15    43.42    40.8    45.22    48.6    30.08    33.73    41.05    37.05    38.28    35.23    5.83    14.32    21.02    28.28    35.78    32.98    6.32    16.16    20.25    31.4    28.07    26.08    23.77    26.48    23.09    29.43    29.02    24.0    32.06    21.21    
8    31.58    36.07    45.04    50.54    13.93    19.85    12.21    999999999999    48.1    26.25    24.17    40.79    26.91    33.38    42.94    23.0    13.93    10.44    17.72    41.34    41.88    48.1    58.9    55.58    59.62    37.34    25.18    31.58    54.01    34.48    22.85    36.07    43.93    56.29    57.38    18.79    25.08    38.33    58.83    34.99    48.17    34.01    42.06    29.02    6.4    9.43    13.15    9.49    25.32    37.22    41.79    17.0    29.55    49.04    56.65    53.01    38.01    31.06    21.95    11.4    19.1    20.52    31.06    34.37    62.13    49.2    68.51    46.17    27.29    29.97    53.24    45.8    42.8    46.86    50.45    39.01    43.0    51.79    47.27    46.39    46.32    6.4    7.21    12.04    21.84    25.71    30.81    18.36    17.89    31.89    24.52    24.19    20.62    22.63    24.21    20.0    26.63    23.77    19.72    26.25    26.25    
9    17.8    47.42    15.0    40.0    50.0    42.43    36.4    48.1    999999999999    25.0    35.36    25.5    43.01    64.03    60.42    60.21    58.31    40.31    40.0    11.18    41.23    50.99    55.0    26.93    41.23    31.62    28.28    26.93    20.12    15.0    25.3    21.93    8.25    11.18    9.43    53.0    53.15    74.33    48.26    38.08    54.57    57.14    65.37    63.66    53.71    54.34    47.17    42.76    49.65    15.26    6.32    32.76    34.13    31.06    37.85    48.04    53.23    38.95    49.52    46.04    56.08    31.06    29.41    43.46    18.38    14.32    56.29    21.02    22.2    18.44    8.25    44.72    44.38    47.85    49.37    18.97    17.12    10.0    12.17    23.02    6.0    42.06    47.01    52.7    54.45    66.07    49.93    30.08    38.29    25.0    57.28    50.33    51.62    43.93    46.86    46.67    49.2    53.08    48.8    55.97    32.02    
10    15.56    43.29    29.15    47.17    33.54    30.41    14.14    26.25    25.0    999999999999    11.18    32.02    35.0    52.2    55.0    44.72    39.05    22.36    15.0    15.81    42.72    52.2    60.42    43.01    53.15    33.54    20.62    25.5    38.47    10.0    8.06    10.3    24.35    35.36    33.38    28.0    41.23    60.42    56.6    36.4    54.34    48.37    57.43    49.77    32.56    30.46    22.36    18.79    25.3    21.4    19.1    17.26    29.83    41.11    49.58    53.23    48.04    34.53    37.11    29.07    40.25    6.32    9.49    22.67    36.24    23.02    66.29    33.42    14.76    8.06    28.16    47.17    45.22    49.65    52.55    26.17    28.6    32.02    29.55    34.71    25.71    19.85    28.02    34.67    40.5    49.4    42.05    8.94    25.32    7.07    43.66    38.83    37.95    33.24    36.35    33.96    39.32    40.52    35.44    43.68    25.5    
